run,thread_Dedup,thread_Swaptions,startTime,end_Dedup,end_Swaptions
7,16,2,1522248945.9,1522248958.2,1522249108.4
7,8,2,1522249108.5,1522249136.3,1522249281.7
7,4,2,1522249281.8,1522249290.9,1522249445.3
7,2,2,1522249445.4,1522249460.8,1522249608.0
7,32,1,1522249608.1,1522249620.6,1522249929.4
7,16,1,1522249929.5,1522250064.3,1522250282.2
7,8,1,1522250282.3,1522250295.0,1522250613.6
7,4,1,1522250613.7,1522250623.9,1522250941.6
7,2,1,1522250941.7,1522250955.0,1522251264.4
8,32,32,1522251264.6,1522251318.9,1522251307.2
8,16,32,1522251319.0,1522251465.1,1522251361.4
8,8,32,1522251465.2,1522251516.0,1522251508.3
8,4,32,1522251516.1,1522251564.9,1522251558.7
8,2,32,1522251565.0,1522251617.6,1522251607.6
8,32,16,1522251617.7,1522251672.2,1522251661.9
8,16,16,1522251672.3,1522251718.5,1522251712.1
8,8,16,1522251718.6,1522251758.4,1522251754.4
8,4,16,1522251758.5,1522251799.0,1522251795.5
8,2,16,1522251799.1,1522251838.3,1522251830.0
8,32,8,1522251838.4,1522251855.5,1522251880.9
8,16,8,1522251881.0,1522251896.7,1522251925.8
8,8,8,1522251925.9,1522251993.2,1522251987.5
8,4,8,1522251993.3,1522252025.7,1522252052.5
8,2,8,1522252052.6,1522252076.5,1522252112.6
8,32,4,1522252112.8,1522252129.1,1522252196.5
8,16,4,1522252196.6,1522252209.7,1522252279.1
8,8,4,1522252279.2,1522252287.1,1522252361.9
8,4,4,1522252362.0,1522252370.7,1522252447.5
8,2,4,1522252447.6,1522252461.1,1522252530.8
8,32,2,1522252530.9,1522252549.5,1522252693.8
8,16,2,1522252693.9,1522252710.9,1522252856.4
8,8,2,1522252856.5,1522252870.3,1522253019.4
8,4,2,1522253019.5,1522253031.5,1522253181.3
8,2,2,1522253181.4,1522253195.4,1522253342.1
8,32,1,1522253342.3,1522253359.1,1522253665.3
8,16,1,1522253665.4,1522253682.1,1522253990.9
