time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522213558.6,15986.0,87,2,35,687167,455,43191,113523107,20284,0,326,80080
1522213559.7,16036.1,77,1,212,687581,455,43193,113524344,20284,0,326,80082
1522213560.7,16107.2,109,0,50,688000,455,43197,113525594,20284,0,326,80084
1522213561.8,16026.6,130,4,40,688421,455,43201,113526848,20284,0,326,80086
1522213562.8,16032.7,101,3,10,688843,455,43205,113528106,20284,0,326,80090
1522213563.9,16028.1,118,6,647,689263,455,43209,113529359,20284,0,326,80093
1522213564.9,16054.1,157,3,203,689680,455,43212,113530607,20284,0,326,80095
1522213566.0,16031.6,113,1,10,690096,455,43215,113531850,20284,0,326,80097
1522213567.0,16040.8,100,2,235,690513,455,43219,113533097,20284,0,326,80098
1522213568.1,16090.1,102,2,10,690935,455,43223,113534358,20284,0,326,80104
1522213569.1,16050.0,110,3,234,691352,455,43226,113535602,20284,0,326,80107
1522213570.1,16040.7,81,0,10,691767,455,43229,113536845,20284,0,326,80109
1522213571.2,16009.4,74,2,10,692185,455,43232,113538093,20284,0,326,80110
1522213572.2,16028.7,456,2,42,692605,455,43238,113539330,20298,0,326,80113
1522213573.3,16062.7,1535,6,221,693021,455,43249,113540469,20395,0,326,80116
1522213574.3,16036.0,725,3,231,693442,455,43255,113541664,20457,0,326,80120
1522213575.4,16013.1,118,0,10,693853,455,43257,113542895,20457,0,326,80122
1522213576.4,16025.6,128,2,28,694270,455,43260,113544141,20457,0,326,80124
1522213577.5,16168.8,81,0,20,694695,455,43265,113545407,20457,0,326,80127
1522213578.5,16053.7,118,3,203,695116,455,43268,113546661,20457,0,326,80131
1522213579.5,15975.9,143,1,38,695531,455,43271,113547898,20457,0,326,80133
1522213580.6,16126.3,134,0,10,695956,455,43275,113549164,20457,0,326,80136
1522213581.7,16034.1,85,2,63,696383,455,43281,113550438,20457,0,326,80141
1522213582.7,16017.6,196,2,10,696801,455,43285,113551685,20457,0,326,80144
1522213583.7,16023.7,117,0,52,697215,455,43287,113552919,20457,0,326,80146
1522213584.8,16032.9,137,3,235,697634,455,43290,113554169,20457,0,326,80147
1522213585.8,16075.2,115,4,667,698057,455,43294,113555428,20457,0,326,80149
1522213586.9,16034.4,108,3,235,698476,455,43297,113556677,20457,0,326,80152
1522213587.9,16064.9,157,2,10,698891,455,43300,113557916,20457,0,326,80155
1522213589.0,16028.5,175,0,10,699311,455,43304,113559169,20457,0,326,80157
1522213590.0,16300.5,688,1,26,699732,455,43310,113560420,20457,0,326,80164
1522213591.1,16027.9,344,2,10,700148,455,43312,113561659,20457,0,327,80164
1522213592.1,16026.7,214,5,41,700570,455,43317,113562917,20457,0,327,80167
1522213593.2,16018.2,247,2,28,700988,455,43320,113564166,20457,0,327,80170
1522213594.2,16029.0,354,4,1028,701412,455,43332,113565398,20457,0,327,80172
1522213595.3,16050.2,291,27,3921,701832,455,43336,113566643,20457,0,327,80173
1522213596.3,16042.1,111,0,10,702251,455,43340,113567894,20457,0,327,80174
1522213597.3,16034.1,74,3,227,702671,455,43343,113569147,20457,0,327,80178
1522213598.4,16028.5,88,1,10,703094,455,43346,113570410,20457,0,327,80181
1522213599.4,16032.2,86,1,239,703512,455,43349,113571656,20457,0,327,80183
1522213600.5,16000.3,140,2,387,703940,455,43353,113572927,20457,0,327,80186
1522213601.6,16048.8,93,1,19,704365,455,43358,113574193,20457,0,327,80190
1522213602.6,16066.7,108,4,498,704779,455,43360,113575432,20457,0,327,80195
1522213603.7,16017.0,87,1,28,705198,455,43364,113576684,20457,0,327,80196
1522213604.7,16030.8,105,0,43,705615,455,43367,113577930,20457,0,327,80198
1522213605.7,16020.1,84,2,10,706032,455,43370,113579176,20457,0,327,80199
1522213606.8,16032.6,96,4,218,706448,455,43372,113580422,20457,0,327,80203
1522213607.8,16136.5,82,1,217,706867,455,43376,113581674,20457,0,327,80205
1522213608.9,16047.9,106,1,10,707291,455,43380,113582941,20457,0,327,80210
1522213609.9,16079.0,97,4,42,707711,455,43384,113584193,20457,0,327,80212
1522213611.0,16048.3,72,2,10,708138,455,43390,113585468,20457,0,327,80217
1522213612.0,16018.6,71,0,34,708551,455,43392,113586702,20457,0,327,80221
1522213613.1,16042.2,133,1,62,708972,455,43396,113587956,20457,0,327,80223
1522213614.1,16042.6,117,2,203,709390,455,43399,113589202,20457,0,327,80225
1522213615.2,16023.0,79,1,41,709814,455,43404,113590469,20457,0,327,80229
1522213616.2,16081.5,115,2,10,710233,455,43407,113591717,20457,0,327,80231
1522213617.3,16061.5,99,1,206,710646,455,43408,113592952,20457,0,327,80233
1522213618.3,16032.8,82,4,203,711059,455,43410,113594186,20457,0,327,80233
1522213619.4,16025.0,82,1,10,711483,455,43416,113595450,20457,0,327,80237
1522213620.4,16046.2,116,3,221,711898,455,43419,113596691,20457,0,327,80240
1522213621.4,16039.4,87,1,10,712315,455,43421,113597935,20457,0,328,80243
1522213622.5,16025.3,78,1,45,712732,455,43425,113599185,20457,0,328,80245
1522213623.5,16020.9,94,1,28,713148,455,43428,113600426,20457,0,328,80246
1522213624.6,16027.4,114,3,217,713559,455,43430,113601657,20457,0,328,80248
1522213625.6,16050.3,104,1,17,713979,455,43434,113602912,20457,0,328,80250
1522213626.6,16023.6,76,1,10,714395,455,43437,113604155,20457,0,328,80251
1522213627.7,16031.2,76,3,237,714810,455,43440,113605396,20457,0,328,80252
1522213628.7,16044.3,116,3,203,715227,455,43443,113606638,20457,0,328,80254
1522213629.8,16031.6,1798,4,203,715627,455,43460,113607890,20457,0,328,80259
1522213630.8,16049.5,3895,663,127273,715659,455,43542,113609409,20475,0,328,80261
1522213631.8,16044.7,5501,59,19776,715728,455,43635,113610847,20517,0,328,80265
1522213632.9,16020.1,23391,5,134704,716168,455,43702,113611994,20517,0,328,80271
