time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522222840.7,16339.5,2389,18,3098,3456625,455,146221,125175396,39079,0,670,228704
1522222841.9,16128.7,2330,17,6006,3458544,455,146224,125175396,39079,0,670,228707
1522222843.1,16221.3,2217,8,4214,3460430,455,146226,125175396,39079,0,670,228710
1522222844.4,16019.8,2367,8,3196,3462330,455,146228,125175396,39079,0,670,228713
1522222845.6,16214.6,2614,12,1855,3464277,455,146235,125175396,39079,0,670,228716
1522222846.9,16369.0,2659,10,5327,3466212,455,146237,125175396,39079,0,670,228719
1522222848.1,16430.1,2781,12,3543,3468206,455,146239,125175396,39079,0,670,228723
1522222849.4,16033.6,2377,10,3834,3470229,455,146241,125175396,39079,0,670,228725
1522222850.7,16048.5,2896,11,3818,3472220,455,146247,125175396,39079,0,670,228727
1522222852.0,16288.9,2474,12,3408,3474220,455,146256,125175396,39079,0,670,228732
1522222853.2,16305.6,2229,13,3347,3476197,455,146259,125175396,39079,0,670,228736
1522222854.5,16636.7,3799,13,10744,3478148,455,146263,125175396,39079,0,670,228738
1522222855.7,16099.3,2313,9,4804,3480046,455,146266,125175396,39079,0,670,228741
1522222856.9,16139.9,63455,13,5260,3481893,455,146294,125175396,39079,0,670,228743
1522222858.0,16251.8,171267,25,4322,3483641,455,146317,125175399,39079,0,670,228745
1522222859.1,16168.1,423182,223,47586,3485310,455,146368,125175413,39079,0,670,228748
1522222860.2,16063.1,3538173,601,58204,3486549,455,146628,125175506,39079,0,670,228753
1522222861.2,16016.0,4599049,949,59638,3487592,455,146988,125175697,39079,0,670,228757
1522222862.2,16017.3,5518535,794,40208,3488569,455,147382,125175937,39079,0,670,228761
1522222863.2,16016.7,4980688,1245,8389,3489614,455,147738,125176136,39079,0,670,228766
1522222864.3,16022.7,5217322,1090,6898,3490665,455,148129,125176298,39079,0,670,228772
1522222865.3,16019.6,2041,2,7477,3490868,455,148145,125177718,39079,0,670,228772
1522222866.3,16019.7,2217,2,2128,3491074,455,148169,125179123,39079,0,670,228772
1522222867.3,16030.2,1827,1,1283,3491281,455,148183,125180548,39079,0,670,228772
1522222868.4,16018.3,1852,1,996,3491487,455,148195,125181967,39079,0,670,228772
1522222869.4,16029.6,1851,1,1150,3491695,455,148208,125183389,39079,0,670,228772
1522222870.4,16024.6,1179,2,6603,3491906,455,148260,125184772,39079,0,670,228772
1522222871.5,16033.9,1856,2,501,3492112,455,148273,125186193,39079,0,670,228772
1522222872.5,16015.5,3530,563,103917,3492246,455,148310,125187660,39079,0,670,228772
1522222873.6,16090.6,3690,748,137499,3493267,455,148415,125188162,39079,0,670,228776
1522222874.7,16224.3,919,115,4367,3495020,455,148489,125188162,39079,0,670,228778
1522222875.9,16159.3,2463,66,1339,3496893,455,148493,125188166,39079,0,670,228781
1522222877.1,16192.8,2287,34,1157,3498724,455,148494,125188166,39079,0,670,228784
1522222878.3,16406.2,2463,37,1246,3500584,455,148496,125188166,39079,0,670,228786
1522222879.4,16281.6,2311,18,1260,3502423,455,148497,125188166,39079,0,670,228788
1522222880.6,16260.3,2673,16,1457,3504280,455,148498,125188166,39079,0,670,228789
1522222881.9,16576.9,3115,15,1427,3506222,455,148503,125188166,39079,0,670,228792
1522222883.1,16365.0,2993,19,1773,3508052,455,148506,125188166,39079,0,670,228795
1522222884.2,16335.9,4059,24,3285,3509923,455,148507,125188166,39079,0,670,228797
1522222885.5,16175.0,4122,10,4994,3511836,455,148509,125188166,39079,0,670,228801
1522222886.6,16257.1,3931,22,4777,3513671,455,148510,125188166,39079,0,670,228802
1522222887.8,16401.9,18923,124,29227,3515477,455,148520,125188169,39079,0,670,228804
1522222889.0,16189.8,2710,36,1065,3517282,455,148527,125188169,39079,0,670,228808
1522222890.1,16493.1,2408,30,1116,3519120,455,148531,125188169,39079,0,670,228810
1522222891.3,16208.3,2169,22,1074,3520920,455,148533,125188169,39079,0,670,228812
1522222892.5,16352.6,2312,19,1102,3522767,455,148534,125188169,39079,0,670,228814
1522222893.7,16352.0,2532,21,1351,3524647,455,148535,125188169,39079,0,670,228815
1522222894.9,16193.9,2412,20,1272,3526523,455,148537,125188169,39079,0,670,228816
1522222896.0,16371.0,2903,23,1729,3528382,455,148538,125188169,39079,0,670,228817
1522222897.2,16191.1,2997,22,1937,3530216,455,148541,125188169,39079,0,670,228819
1522222898.3,16196.0,4178,43,2976,3531912,455,148559,125188169,39079,0,670,228821
1522222899.3,16018.2,161559,685,13255,3533466,455,148609,125188189,39079,0,670,228823
